0,10002,75.0,7.833333333333333,2,66
1,10002,75.0,7.833333333333333,2,105
2,10001,75.0,47.0,1,63
3,10000,75.0,5.5,0,74
4,10002,75.0,7.333333333333333,2,140
5,10004,75.0,8.25,1,212
6,10000,75.0,15.0,0,91
7,10001,75.0,7.333333333333333,1,63
8,10002,75.0,9.0,2,107
9,10001,75.0,4.4,1,63
10,10001,75.0,5.5,1,63
11,10003,75.0,5.5,1,109
12,10006,75.0,6.6,0,261
13,10000,75.0,7.5,0,130
14,10003,75.0,4.714285714285714,1,183
15,10000,75.0,7.5,0,3
16,10004,75.0,7.833333333333333,1,230
17,10003,75.0,7.333333333333333,1,147
18,10001,75.0,7.5,1,64
19,10005,75.0,5.5,2,205
20,10000,75.0,15.0,0,110
21,10000,75.0,15.0,0,92
22,10004,75.0,6.714285714285714,1,212
23,10006,75.0,15.0,0,226
24,10002,75.0,7.5,2,17
25,10004,75.0,9.4,1,159
26,10004,75.0,11.75,1,268
27,10004,75.0,9.4,1,160
28,10006,75.0,11.0,0,264
29,10006,75.0,11.0,0,265
30,10003,75.0,7.5,1,234
31,10004,75.0,9.4,1,179
32,10004,75.0,11.75,1,196
33,10003,75.0,15.0,1,234
34,10003,75.0,15.0,1,128
35,10004,75.0,11.75,1,179
36,10005,75.0,7.333333333333333,2,259
37,10002,75.0,11.0,2,107
38,10005,75.0,9.0,2,167
39,10005,75.0,9.0,2,187
40,10006,75.0,11.0,0,192
41,10001,75.0,6.714285714285714,1,65
42,10000,75.0,7.333333333333333,0,74
43,10004,75.0,5.5,1,195
44,10001,75.0,9.4,1,133
45,10006,75.0,11.0,0,248
46,10003,75.0,5.5,1,217
47,10004,75.0,7.333333333333333,1,251
48,10003,75.0,7.333333333333333,1,183
49,10002,75.0,5.5,2,70
50,10002,75.0,7.333333333333333,2,70
51,10002,75.0,11.0,2,121
52,10003,75.0,11.0,1,234
53,10001,75.0,7.833333333333333,1,117
54,10001,75.0,5.0,1,135
55,10003,75.0,5.5,1,272
56,10001,75.0,7.5,1,136
57,10005,75.0,9.0,2,188
58,10006,75.0,7.333333333333333,0,193
59,10006,75.0,7.333333333333333,0,244
60,10003,75.0,5.5,1,236
61,10004,75.0,7.333333333333333,1,285
62,10003,75.0,6.6,1,109
63,10003,75.0,11.0,1,162
64,10004,75.0,7.333333333333333,1,125
65,10006,75.0,7.333333333333333,0,212
66,10005,75.0,5.888888888888889,2,166
67,10004,75.0,5.5,1,212
68,10005,75.0,6.625,2,167
69,10005,75.0,7.571428571428571,2,219
70,10005,75.0,8.833333333333334,2,223
71,10006,75.0,6.6,0,245
72,10005,75.0,10.6,2,237
73,10006,75.0,11.0,0,265
